,equity
2018-06-04,1535.0497272492769
2018-06-05,1542.8304925416353
2018-06-06,1562.9301375680334
2018-06-07,1550.0772882478122
2018-06-08,1554.2537881776216
2018-06-11,1555.7210883172397
2018-06-12,1560.6444258859044
2018-06-13,1552.5205924828892
2018-06-14,1560.3248178239232
2018-06-15,1550.9129670249638
2018-06-18,1551.7273981620751
2018-06-19,1549.8086781931795
2018-06-20,1558.010252398578
2018-06-21,1548.555358557025
2018-06-22,1550.6065883276858
2018-06-25,1523.0764731258246
2018-06-26,1520.6697483871314
2018-06-27,1517.40008676146
2018-06-28,1516.2008416175047
2018-06-29,1518.149405530087
2018-07-02,1517.5997306662719
2018-07-03,1518.798886252896
2018-07-05,1522.1465827025572
2018-07-06,1522.0465820529143
2018-07-09,1520.4130261232592
2018-07-10,1521.4783858663775
2018-07-11,1518.4577438580793
2018-07-12,1534.3142500239255
2018-07-13,1538.8465497858883
2018-07-16,1531.905442475784
2018-07-17,1541.8754121458887
2018-07-18,1541.0045069823148
2018-07-19,1534.2709331278684
2018-07-20,1541.1429022662044
2018-07-23,1539.7311646590117
2018-07-24,1556.5414524195555
2018-07-25,1580.4923825190428
2018-07-26,1514.3502594888578
2018-07-27,1490.3243360140923
2018-07-30,1469.371915915146
2018-07-31,1469.64318670516
2018-08-01,1468.5454026192808
2018-08-02,1468.3139495377054
2018-08-03,1473.3034987468232
2018-08-06,1473.7359860642903
2018-08-07,1478.690331748151
2018-08-08,1474.0792804266441
2018-08-09,1469.739850369889
2018-08-10,1462.0538810835671
2018-08-13,1458.0280934665514
2018-08-14,1460.9727181602786
2018-08-15,1456.639006941041
2018-08-16,1467.4997900632943
2018-08-17,1472.8721835415067
2018-08-20,1477.7123947662535
2018-08-21,1473.255246403903
2018-08-22,1469.5481898342312
2018-08-23,1474.3616335031334
2018-08-24,1483.2304903457466
2018-08-27,1492.3933342973417
2018-08-28,1489.8832578886033
2018-08-29,1503.628732832956
2018-08-30,1502.3089015951157
2018-08-31,1503.7611312826382
2018-09-04,1508.4449666553598
